Fecha,Categoría de dispositivo,Vistas
4 dic 2023,mobile,22
4 dic 2023,desktop,15
5 dic 2023,mobile,18
5 dic 2023,desktop,11
6 dic 2023,desktop,8
6 dic 2023,mobile,4
7 dic 2023,mobile,16
7 dic 2023,desktop,8
8 dic 2023,desktop,11
8 dic 2023,mobile,4
9 dic 2023,mobile,40
9 dic 2023,desktop,10
10 dic 2023,mobile,7
10 dic 2023,desktop,4
11 dic 2023,desktop,8
11 dic 2023,mobile,8
12 dic 2023,desktop,11
12 dic 2023,mobile,6
13 dic 2023,desktop,17
13 dic 2023,mobile,10
14 dic 2023,desktop,8
14 dic 2023,mobile,8
15 dic 2023,desktop,18
15 dic 2023,mobile,10
16 dic 2023,mobile,27
16 dic 2023,desktop,15
17 dic 2023,mobile,14
17 dic 2023,desktop,5
18 dic 2023,desktop,27
18 dic 2023,mobile,7
19 dic 2023,mobile,10
19 dic 2023,desktop,2
20 dic 2023,mobile,14
20 dic 2023,desktop,11
21 dic 2023,desktop,9
21 dic 2023,mobile,3
22 dic 2023,mobile,15
22 dic 2023,desktop,9
23 dic 2023,mobile,26
23 dic 2023,desktop,9
24 dic 2023,mobile,13
24 dic 2023,desktop,2
25 dic 2023,mobile,10
25 dic 2023,desktop,4
26 dic 2023,mobile,10
26 dic 2023,desktop,7
27 dic 2023,mobile,22
27 dic 2023,desktop,5
28 dic 2023,desktop,11
28 dic 2023,mobile,8
29 dic 2023,mobile,6
29 dic 2023,desktop,5
29 dic 2023,tablet,1
30 dic 2023,mobile,20
30 dic 2023,desktop,3
31 dic 2023,mobile,12
31 dic 2023,desktop,6
1 ene 2024,mobile,2
1 ene 2024,desktop,1
2 ene 2024,desktop,12
2 ene 2024,mobile,12
3 ene 2024,mobile,17
3 ene 2024,desktop,13
4 ene 2024,desktop,8
4 ene 2024,mobile,4
5 ene 2024,desktop,9
5 ene 2024,mobile,5
6 ene 2024,mobile,31
6 ene 2024,desktop,7
7 ene 2024,mobile,17
7 ene 2024,desktop,3
8 ene 2024,mobile,7
8 ene 2024,desktop,2
9 ene 2024,desktop,6
9 ene 2024,mobile,4
10 ene 2024,mobile,9
10 ene 2024,desktop,1
11 ene 2024,mobile,4
11 ene 2024,desktop,1
12 ene 2024,desktop,3
12 ene 2024,mobile,2
13 ene 2024,mobile,21
13 ene 2024,desktop,19
14 ene 2024,desktop,2
14 ene 2024,mobile,2
15 ene 2024,desktop,7
15 ene 2024,mobile,1
16 ene 2024,desktop,26
16 ene 2024,mobile,2
17 ene 2024,desktop,15
18 ene 2024,desktop,22
18 ene 2024,mobile,4
19 ene 2024,desktop,12
19 ene 2024,mobile,1
20 ene 2024,mobile,8
20 ene 2024,desktop,4
21 ene 2024,mobile,11
21 ene 2024,desktop,6
22 ene 2024,desktop,18
22 ene 2024,mobile,4
23 ene 2024,desktop,11
23 ene 2024,mobile,8
24 ene 2024,mobile,6
24 ene 2024,desktop,2
25 ene 2024,desktop,3
26 ene 2024,desktop,15
26 ene 2024,mobile,3
27 ene 2024,desktop,20
27 ene 2024,mobile,9
28 ene 2024,mobile,8
28 ene 2024,desktop,6
29 ene 2024,desktop,18
29 ene 2024,mobile,1
30 ene 2024,mobile,4
30 ene 2024,desktop,1
31 ene 2024,desktop,10
31 ene 2024,mobile,2
1 feb 2024,mobile,3
1 feb 2024,desktop,1
2 feb 2024,mobile,3
2 feb 2024,desktop,7
3 feb 2024,mobile,9
3 feb 2024,desktop,7
4 feb 2024,desktop,5
4 feb 2024,mobile,3
5 feb 2024,desktop,41
5 feb 2024,mobile,11
6 feb 2024,desktop,6
6 feb 2024,mobile,6
7 feb 2024,mobile,4
7 feb 2024,desktop,3
8 feb 2024,mobile,13
8 feb 2024,desktop,12
9 feb 2024,desktop,10
9 feb 2024,mobile,10
10 feb 2024,desktop,21
10 feb 2024,mobile,17
11 feb 2024,mobile,13
11 feb 2024,desktop,5
12 feb 2024,desktop,4
13 feb 2024,mobile,1
14 feb 2024,desktop,17
14 feb 2024,mobile,2
15 feb 2024,desktop,24
15 feb 2024,mobile,9
16 feb 2024,desktop,13
16 feb 2024,mobile,5
17 feb 2024,mobile,6
17 feb 2024,desktop,3
18 feb 2024,mobile,7
18 feb 2024,desktop,3
19 feb 2024,mobile,11
19 feb 2024,desktop,2
20 feb 2024,desktop,12
20 feb 2024,mobile,7
21 feb 2024,mobile,24
21 feb 2024,desktop,18
22 feb 2024,desktop,23
22 feb 2024,mobile,1
23 feb 2024,desktop,21
23 feb 2024,mobile,6
24 feb 2024,mobile,11
24 feb 2024,desktop,10
25 feb 2024,desktop,6
25 feb 2024,mobile,3
26 feb 2024,desktop,29
26 feb 2024,mobile,3
27 feb 2024,desktop,32
27 feb 2024,mobile,21
28 feb 2024,desktop,31
28 feb 2024,mobile,3
29 feb 2024,desktop,16
29 feb 2024,mobile,5
1 mar 2024,desktop,9
1 mar 2024,mobile,9
2 mar 2024,mobile,20
2 mar 2024,desktop,4
2 mar 2024,tablet,2
3 mar 2024,mobile,7
3 mar 2024,desktop,5
4 mar 2024,mobile,26
4 mar 2024,desktop,24
5 mar 2024,desktop,22
5 mar 2024,mobile,14
6 mar 2024,mobile,24
6 mar 2024,desktop,17
7 mar 2024,mobile,37
7 mar 2024,desktop,18
8 mar 2024,desktop,19
8 mar 2024,mobile,15
8 mar 2024,tablet,1
9 mar 2024,mobile,59
9 mar 2024,desktop,6
10 mar 2024,mobile,9
10 mar 2024,desktop,4
11 mar 2024,mobile,30
11 mar 2024,desktop,23
12 mar 2024,mobile,22
12 mar 2024,desktop,19
13 mar 2024,desktop,32
13 mar 2024,mobile,11
14 mar 2024,desktop,20
14 mar 2024,mobile,6
15 mar 2024,desktop,23
15 mar 2024,mobile,19
16 mar 2024,mobile,31
16 mar 2024,desktop,17
17 mar 2024,mobile,7
17 mar 2024,desktop,6
18 mar 2024,desktop,29
18 mar 2024,mobile,23
19 mar 2024,mobile,33
19 mar 2024,desktop,16
20 mar 2024,desktop,28
20 mar 2024,mobile,26
21 mar 2024,desktop,7
21 mar 2024,mobile,7
22 mar 2024,desktop,43
22 mar 2024,mobile,30
23 mar 2024,mobile,23
23 mar 2024,desktop,9
24 mar 2024,desktop,11
24 mar 2024,mobile,7
25 mar 2024,desktop,14
25 mar 2024,mobile,12
26 mar 2024,mobile,15
26 mar 2024,desktop,11
27 mar 2024,mobile,23
27 mar 2024,desktop,14
28 mar 2024,desktop,6
28 mar 2024,mobile,6
29 mar 2024,desktop,7
29 mar 2024,mobile,4
30 mar 2024,mobile,33
30 mar 2024,desktop,5
31 mar 2024,mobile,7
31 mar 2024,desktop,2
1 abr 2024,mobile,21
1 abr 2024,desktop,11
2 abr 2024,mobile,17
2 abr 2024,desktop,10