,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,Linux,iOS,Macintosh,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Referral,Socials,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
0,4 dic 2023,37,7,19,2.066666666666667,31,30,7,22,15,0,12.333333333333336,9.177266598624136,20,12,3,2,0,0,5.285714285714286,7.185586479976739,33,3,1,0,9.25,13.75454470347892
1,5 dic 2023,29,10,19,1.4375,23,23,6,18,11,0,9.666666666666666,7.4087035902976215,13,11,0,5,0,0,4.142857142857143,5.2760529464626815,23,2,0,4,7.25,9.202581159652981
2,6 dic 2023,12,2,10,2.0,12,9,3,4,8,0,4.0,3.2659863237109037,2,8,0,2,0,0,1.7142857142857142,2.7105237087157543,10,1,1,0,3.0,4.0620192023179795
3,7 dic 2023,24,7,12,1.3333333333333333,16,20,4,16,8,0,8.0,6.531972647421807,13,8,0,3,0,0,3.4285714285714284,4.7766438563715665,23,1,0,0,6.0,9.82344135219425
4,8 dic 2023,15,8,12,2.0,18,7,8,4,11,0,5.0,4.546060565661952,4,9,1,0,1,0,2.142857142857143,3.0904725218262765,8,7,0,0,3.75,3.7666297933298414
5,9 dic 2023,50,11,26,1.8571428571428568,39,43,7,40,10,0,16.666666666666668,16.996731711975947,36,10,0,4,0,0,7.142857142857142,12.275743462251905,29,15,2,4,12.5,10.735455276791944
6,10 dic 2023,11,5,9,1.5714285714285714,11,7,4,7,4,0,3.6666666666666665,2.867441755680876,7,3,0,0,1,0,1.5714285714285714,2.4411439272335804,4,3,3,1,2.75,1.0897247358851685
7,11 dic 2023,16,9,16,1.5,18,10,6,8,8,0,5.333333333333333,3.771236166328253,6,6,2,2,0,0,2.2857142857142856,2.4907993963089563,8,8,0,0,4.0,4.0
8,12 dic 2023,17,5,10,1.75,14,9,8,6,11,0,5.666666666666668,4.496912521077348,4,11,0,2,0,0,2.4285714285714284,3.7742413753208304,11,3,3,0,4.25,4.085033659592049
9,13 dic 2023,27,8,14,1.8,18,19,8,10,17,0,9.0,6.97614984548545,6,16,1,4,0,0,3.8571428571428568,5.409741779646139,17,2,8,0,6.75,6.609652033201143
10,14 dic 2023,16,5,12,1.7777777777777777,16,13,3,8,8,0,5.333333333333333,3.771236166328253,8,7,1,0,0,0,2.2857142857142856,3.3258419219493764,13,3,0,0,4.0,5.338539126015656
11,15 dic 2023,28,3,14,1.7272727272727273,19,21,7,10,18,0,9.333333333333334,7.363574011458176,5,18,0,5,0,0,4.0,6.117889458675388,22,5,1,0,7.0,8.860022573334676
12,16 dic 2023,42,16,23,1.4761904761904765,31,37,5,27,15,0,14.0,11.04536101718726,27,15,0,0,0,0,6.0,10.014275524755364,31,9,0,2,10.5,12.298373876248846
13,17 dic 2023,19,3,6,2.0,10,14,5,14,5,0,6.333333333333332,5.792715732327589,14,4,0,0,1,0,2.7142857142857144,4.80221037542046,18,1,0,0,4.75,7.6607767230222805
14,18 dic 2023,34,8,14,1.5833333333333333,19,29,5,7,27,0,11.333333333333336,11.440668201153677,3,27,0,4,0,0,4.857142857142857,9.171829096728297,31,3,0,0,8.5,13.047988350699887
15,19 dic 2023,12,2,6,1.3333333333333333,8,8,4,10,2,0,4.0,4.320493798938574,6,2,0,4,0,0,1.7142857142857142,2.2497165354319457,12,0,0,0,3.0,5.196152422706632
16,20 dic 2023,25,3,13,1.9,19,20,5,14,11,0,8.333333333333334,6.018490028422597,10,11,0,4,0,0,3.571428571428572,4.593695768803865,23,1,1,0,6.25,9.67923034130297
17,21 dic 2023,12,2,4,2.333333333333333,7,9,3,3,9,0,4.0,3.741657386773941,0,9,0,3,0,0,1.7142857142857142,3.1493439550069438,12,0,0,0,3.0,5.196152422706632
18,22 dic 2023,24,7,14,1.7272727272727273,19,17,7,15,9,0,8.0,6.164414002968977,11,9,0,4,0,0,3.4285714285714284,4.403152859263555,22,2,0,0,6.0,9.273618495495704
19,23 dic 2023,35,5,15,2.1818181818181817,24,30,5,26,9,0,11.666666666666664,10.780641085864152,26,9,0,0,0,0,5.0,9.11827051270454,22,13,0,0,8.75,9.310612224768036
20,24 dic 2023,15,1,8,2.2,11,13,2,13,2,0,5.0,5.715476066494082,13,1,0,0,1,0,2.142857142857143,4.453844933748542,6,9,0,0,3.75,3.897114317029974
21,25 dic 2023,14,2,8,1.8333333333333333,11,13,1,10,4,0,4.666666666666667,4.109609335312651,10,4,0,0,0,0,2.0,3.5456210417116734,12,2,0,0,3.5,4.9749371855331
22,26 dic 2023,17,5,10,1.75,14,12,5,10,7,0,5.666666666666668,4.189935029992179,9,7,0,1,0,0,2.4285714285714284,3.5799897388976185,4,13,0,0,4.25,5.3091901453988255
23,27 dic 2023,27,5,11,1.8888888888888888,17,24,3,22,5,0,9.0,9.41629792788369,21,5,0,1,0,0,3.8571428571428568,7.1997732390595175,19,7,0,1,6.75,7.562241731127088
24,28 dic 2023,19,6,14,1.2727272727272727,14,15,4,8,11,0,6.333333333333332,4.642796092394708,8,11,0,0,0,0,2.7142857142857144,4.365916225696036,16,3,0,0,4.75,6.609652033201143
25,29 dic 2023,12,2,4,1.75,7,11,1,6,5,1,4.0,2.160246899469287,7,5,0,0,0,0,1.7142857142857142,2.7627256579733883,5,7,0,0,3.0,3.0822070014844885
26,30 dic 2023,23,3,10,2.125,17,21,2,20,3,0,7.666666666666668,8.806563209081936,20,2,0,0,1,0,3.2857142857142856,6.860118402024554,12,9,2,0,5.75,4.9180788932265
27,31 dic 2023,18,6,8,1.25,10,14,4,12,6,0,6.0,4.898979485566356,9,2,3,3,1,0,2.571428571428572,2.8713930346059686,11,6,1,0,4.5,4.38748219369606
28,1 ene 2024,3,0,2,1.0,2,3,0,2,1,0,1.0,0.8164965809277259,2,1,0,0,0,0,0.42857142857142855,0.7284313590846835,3,0,0,0,0.75,1.299038105676658
29,2 ene 2024,24,4,9,1.3333333333333333,12,19,5,12,12,0,8.0,5.656854249492381,10,7,5,2,0,0,3.4285714285714284,3.6977654587270807,20,3,1,0,6.0,8.154753215150045
30,3 ene 2024,30,7,12,1.0,12,28,2,17,13,0,10.0,7.25718035235908,16,13,0,1,0,0,4.285714285714286,6.518419740885619,18,12,0,0,7.5,7.794228634059948
31,4 ene 2024,12,7,11,1.1,11,5,7,4,8,0,4.0,3.2659863237109037,4,7,1,0,0,0,1.7142857142857142,2.5475077857324298,7,5,0,0,3.0,3.0822070014844885
32,5 ene 2024,14,5,10,1.375,11,12,2,5,9,0,4.666666666666667,3.6817870057290873,5,9,0,0,0,0,2.0,3.3380918415851206,6,8,0,0,3.5,3.570714214271425
33,6 ene 2024,38,7,15,1.3076923076923077,17,37,1,31,7,0,12.666666666666664,13.27487183449325,31,6,0,0,1,0,5.428571428571429,10.634944325962712,18,12,3,5,9.5,5.937171043518957
34,7 ene 2024,20,6,8,1.1428571428571428,8,17,3,17,3,0,6.666666666666668,7.4087035902976215,17,1,1,0,1,0,2.8571428571428568,5.792324266489513,6,13,1,0,5.0,5.1478150704935
35,8 ene 2024,9,2,6,1.5,6,7,2,7,2,0,3.0,2.943920288775949,7,2,0,0,0,0,1.2857142857142858,2.4327694808466287,7,0,2,0,2.25,2.8613807855648994
36,9 ene 2024,10,6,9,1.0,9,4,6,4,6,0,3.333333333333333,2.494438257849294,3,6,0,1,0,0,1.4285714285714286,2.1285234893930487,7,3,0,0,2.5,2.8722813232690143
37,10 ene 2024,10,3,4,1.0,4,1,9,9,1,0,3.333333333333333,4.027681991198191,6,1,0,3,0,0,1.4285714285714286,2.1285234893930487,10,0,0,0,2.5,4.330127018922194
38,11 ene 2024,5,1,3,1.5,3,4,1,4,1,0,1.6666666666666667,1.699673171197595,4,1,0,0,0,0,0.7142857142857143,1.385051387833237,4,1,0,0,1.25,1.6393596310754999
39,12 ene 2024,5,2,5,1.25,5,4,1,2,3,0,1.6666666666666667,1.247219128924647,2,3,0,0,0,0,0.7142857142857143,1.1605769149479943,1,4,0,0,1.25,1.6393596310754999
40,13 ene 2024,40,6,17,1.2,18,38,2,21,19,0,13.333333333333336,9.463379711052259,21,19,0,0,0,0,5.7142857142857135,9.050876606546947,34,5,1,0,10.0,13.982131454109563
41,14 ene 2024,4,2,4,1.0,4,3,1,2,2,0,1.3333333333333333,0.9428090415820634,2,1,0,0,1,0,0.5714285714285714,0.7284313590846835,3,1,0,0,1.0,1.224744871391589
42,15 ene 2024,8,2,6,1.0,6,7,1,1,7,0,2.6666666666666665,3.091206165165235,1,3,4,0,0,0,1.1428571428571428,1.5518257844571737,7,1,0,0,2.0,2.9154759474226504
43,16 ene 2024,28,2,4,3.5,7,27,1,2,26,0,9.333333333333334,11.813363431112899,1,26,0,1,0,0,4.0,8.992059989632123,2,25,1,0,7.0,10.41633332799983
44,17 ene 2024,15,3,5,1.2,6,13,2,0,15,0,5.0,7.071067811865476,0,15,0,0,0,0,2.142857142857143,5.2489065916782405,9,4,2,0,3.75,3.344772040064913
45,18 ene 2024,26,8,10,1.1111111111111112,10,21,5,4,22,0,8.666666666666666,9.568466729604884,4,21,1,0,0,0,3.7142857142857135,7.185586479976737,6,19,1,0,6.5,7.566372975210777
46,19 ene 2024,13,2,3,1.3333333333333333,4,12,1,1,12,0,4.333333333333333,5.436502143433364,1,12,0,0,0,0,1.8571428571428568,4.15515416349971,1,1,11,0,3.25,4.493050188902857
47,20 ene 2024,12,4,6,1.6,8,12,0,8,4,0,4.0,3.2659863237109037,8,4,0,0,0,0,1.7142857142857142,2.913725436338734,12,0,0,0,3.0,5.196152422706632
48,21 ene 2024,17,5,9,1.4444444444444444,13,13,4,11,6,0,5.666666666666668,4.496912521077348,11,5,0,0,1,0,2.4285714285714284,3.8861344310672687,6,7,4,0,4.25,2.680951323690902
49,22 ene 2024,22,4,7,1.4,7,20,2,4,18,0,7.333333333333332,7.717224601860151,4,18,0,0,0,0,3.1428571428571432,6.2204403020220695,21,1,0,0,5.5,8.958236433584457
50,23 ene 2024,19,7,9,1.0,9,18,1,8,11,0,6.333333333333332,4.642796092394708,8,11,0,0,0,0,2.7142857142857144,4.365916225696036,16,3,0,0,4.75,6.609652033201143
51,24 ene 2024,8,2,3,1.0,3,7,1,6,2,0,2.6666666666666665,2.494438257849294,6,2,0,0,0,0,1.1428571428571428,2.099562636671296,8,0,0,0,2.0,3.4641016151377544
52,25 ene 2024,3,0,1,1.0,1,3,0,0,3,0,1.0,1.4142135623730951,0,0,3,0,0,0,0.42857142857142855,1.049781318335648,3,0,0,0,0.75,1.299038105676658
53,26 ene 2024,18,5,7,1.1666666666666667,7,15,3,3,15,0,6.0,6.4807406984078595,3,13,1,0,1,0,2.571428571428572,4.370588154508101,13,4,1,0,4.5,5.123475382979799
54,27 ene 2024,29,2,7,1.1428571428571428,8,29,0,9,20,0,9.666666666666666,8.178562764256865,9,20,0,0,0,0,4.142857142857143,7.179903927502322,29,0,0,0,7.25,12.557368354874361
55,28 ene 2024,14,4,9,1.25,10,11,3,8,6,0,4.666666666666667,3.39934634239519,8,4,0,0,2,0,2.0,2.8284271247461903,8,6,0,0,3.5,3.570714214271425
56,29 ene 2024,19,4,7,1.3333333333333333,8,18,1,1,18,0,6.333333333333332,8.259674462242579,1,17,1,0,0,0,2.7142857142857144,5.848425568702493,11,3,1,4,4.75,3.7666297933298414
57,30 ene 2024,5,5,6,1.2,6,3,2,4,1,0,1.6666666666666667,1.699673171197595,3,1,0,1,0,0,0.7142857142857143,1.0301575072754257,3,2,0,0,1.25,1.299038105676658
58,31 ene 2024,12,4,4,1.0,4,6,6,2,10,0,4.0,4.320493798938574,0,7,3,2,0,0,1.7142857142857142,2.4327694808466287,11,1,0,0,3.0,4.636809247747852
59,1 feb 2024,4,2,4,1.3333333333333333,4,2,2,3,1,0,1.3333333333333333,1.247219128924647,3,1,0,0,0,0,0.5714285714285714,1.049781318335648,2,2,0,0,1.0,1.0
60,2 feb 2024,10,5,8,1.125,9,9,1,3,7,0,3.333333333333333,2.867441755680876,3,7,0,0,0,0,1.4285714285714286,2.4989793835051284,7,2,0,1,2.5,2.6925824035672523
61,3 feb 2024,16,6,12,1.0,12,14,2,9,7,0,5.333333333333333,3.858612300930076,9,7,0,0,0,0,2.2857142857142856,3.653346243584121,10,4,2,0,4.0,3.741657386773941
62,4 feb 2024,8,2,4,1.0,4,7,1,3,5,0,2.6666666666666665,2.0548046676563256,3,4,0,0,1,0,1.1428571428571428,1.5518257844571737,3,4,1,0,2.0,1.5811388300841898
63,5 feb 2024,52,6,7,1.5714285714285714,11,36,16,11,41,0,17.333333333333332,17.326921891156033,11,41,0,0,0,0,7.428571428571429,14.221283273994073,15,37,0,0,13.0,15.149257407543116
64,6 feb 2024,12,6,10,1.0,10,9,3,6,6,0,4.0,2.8284271247461903,6,6,0,0,0,0,1.7142857142857142,2.710523708715753,7,3,1,1,3.0,2.449489742783178
65,7 feb 2024,7,3,4,1.0,4,5,2,4,3,0,2.333333333333333,1.699673171197595,4,3,0,0,0,0,1.0,1.6035674514745464,2,1,0,4,1.75,1.4790199457749043
66,8 feb 2024,25,9,13,1.1666666666666667,14,12,13,13,12,0,8.333333333333334,5.9066817155564495,13,12,0,0,0,0,3.571428571428572,5.6532454106883945,21,2,1,1,6.25,8.525696452489967
67,9 feb 2024,20,6,11,1.3,13,17,3,10,10,0,6.666666666666668,4.714045207910317,5,6,0,5,4,0,2.8571428571428568,2.531435020952764,17,2,1,0,5.0,6.96419413859206
68,10 feb 2024,38,6,13,2.4444444444444446,22,34,4,17,21,0,12.666666666666664,9.104333522498443,17,21,0,0,0,0,5.428571428571429,8.649643144697487,30,7,0,1,9.5,12.134661099511595
69,11 feb 2024,18,9,20,1.1578947368421053,22,10,8,13,5,0,6.0,5.354126134736337,13,4,0,0,1,0,2.571428571428572,4.4675702203176835,7,9,0,2,4.5,3.6400549446402586
70,12 feb 2024,4,1,2,1.0,2,3,1,0,4,0,1.3333333333333333,1.8856180831641267,0,4,0,0,0,0,0.5714285714285714,1.3997084244475306,3,1,0,0,1.0,1.224744871391589
71,13 feb 2024,1,1,1,1.0,1,0,1,1,0,0,0.3333333333333333,0.4714045207910317,1,0,0,0,0,0,0.14285714285714285,0.34992710611188266,1,0,0,0,0.25,0.4330127018922193
72,14 feb 2024,19,4,6,1.2,6,19,0,2,17,0,6.333333333333332,7.586537784494028,2,17,0,0,0,0,2.7142857142857144,5.872801368884133,7,12,0,0,4.75,5.068283733178324
73,15 feb 2024,33,12,17,1.1176470588235294,19,28,5,9,24,0,11.0,9.899494936611664,9,23,1,0,0,0,4.714285714285714,8.066053836281773,24,5,4,0,8.25,9.283722313813572
74,16 feb 2024,18,8,11,1.1,11,16,2,5,13,0,6.0,5.354126134736337,5,13,0,0,0,0,2.571428571428572,4.593695768803865,12,5,0,1,4.5,4.716990566028302
75,17 feb 2024,9,3,8,1.6,8,9,0,6,3,0,3.0,2.449489742783178,6,3,0,0,0,0,1.2857142857142858,2.1852940772540506,8,1,0,0,2.25,3.344772040064913
76,18 feb 2024,10,3,9,1.8333333333333333,11,4,6,7,3,0,3.333333333333333,2.867441755680876,7,1,2,0,0,0,1.4285714285714286,2.381904571504724,1,9,0,0,2.5,3.7749172176353754
77,19 feb 2024,13,8,11,1.1,11,11,2,11,2,0,4.333333333333333,4.784233364802442,10,2,0,1,0,0,1.8571428571428568,3.3986792152486625,6,7,0,0,3.25,3.2691742076555053
78,20 feb 2024,19,6,10,1.4,14,18,1,7,12,0,6.333333333333332,4.9216076867444665,7,12,0,0,0,0,2.7142857142857144,4.494895063586363,11,2,0,6,4.75,4.205650960315181
79,21 feb 2024,42,11,16,1.0625,17,39,3,24,18,0,14.0,10.198039027185569,24,18,0,0,0,0,6.0,9.621404708847278,32,7,0,3,10.5,12.658988901172163
80,22 feb 2024,24,3,9,1.875,15,23,1,1,23,0,8.0,10.614455552060438,1,23,0,0,0,0,3.4285714285714284,7.997448572730518,22,2,0,0,6.0,9.273618495495704
81,23 feb 2024,27,11,16,1.7142857142857142,24,24,3,6,21,0,9.0,8.831760866327848,5,20,0,1,1,0,3.8571428571428568,6.791351042288407,21,6,0,0,6.75,8.5841423566947
82,24 feb 2024,21,6,11,2.375,19,21,0,11,10,0,7.0,4.966554808583781,11,10,0,0,0,0,3.0,4.750939756661683,16,5,0,0,5.25,6.5335671726859905
83,25 feb 2024,9,2,7,2.0,10,9,0,3,6,0,3.0,2.449489742783178,2,6,0,1,0,0,1.2857142857142858,2.050385727772475,7,2,0,0,2.25,2.8613807855648994
84,26 feb 2024,32,7,21,1.45,29,31,1,3,29,0,10.666666666666666,13.021349989749739,3,25,3,0,1,0,4.571428571428571,8.432202607642118,22,10,0,0,8.0,9.055385138137416
85,27 feb 2024,53,10,20,1.75,28,51,2,21,32,0,17.666666666666668,13.27487183449325,21,32,0,0,0,0,7.571428571428571,12.327172574174073,46,6,1,0,13.25,19.044356119333624
86,28 feb 2024,34,5,11,2.272727272727273,25,33,1,3,31,0,11.333333333333336,13.960261060914615,3,29,0,0,2,0,4.857142857142857,9.920088873861268,26,5,0,3,8.5,10.259142264341595
87,29 feb 2024,21,5,11,1.3636363636363635,15,15,6,5,16,0,7.0,6.683312551921141,3,15,0,2,1,0,3.0,5.0142653642240695,16,3,2,0,5.25,6.299801584177076
88,1 mar 2024,18,5,11,1.3,13,13,5,9,9,0,6.0,4.242640687119285,9,9,0,0,0,0,2.571428571428572,4.065785563073631,15,2,0,1,4.5,6.103277807866851
89,2 mar 2024,26,8,17,1.5384615384615383,20,23,3,20,4,2,8.666666666666666,8.055363982396381,22,4,0,0,0,0,3.7142857142857135,7.5916172889065265,13,12,1,0,6.5,6.020797289396148
90,3 mar 2024,12,9,13,1.2727272727272727,14,7,5,7,5,0,4.0,2.943920288775949,7,5,0,0,0,0,1.7142857142857142,2.7627256579733883,7,4,1,0,3.0,2.7386127875258306
91,4 mar 2024,50,18,28,1.4285714285714286,40,46,4,26,24,0,16.666666666666668,11.813363431112899,24,24,0,2,0,0,7.142857142857142,10.682810911908524,28,19,0,3,12.5,11.5
92,5 mar 2024,36,7,17,1.6923076923076923,22,27,9,14,22,0,12.0,9.092121131323903,9,22,0,3,0,2,5.142857142857143,7.491491772643941,21,15,0,0,9.0,9.246621004453463
93,6 mar 2024,41,11,24,2.0,36,34,7,24,17,0,13.666666666666664,10.077477638553985,17,17,0,7,0,0,5.857142857142858,7.4340639035758205,28,11,1,1,10.25,11.031205736455105
94,7 mar 2024,55,8,17,1.7333333333333334,26,37,18,37,18,0,18.33333333333333,15.107025591499548,28,18,0,9,0,0,7.857142857142858,10.398194505758767,24,25,0,6,13.75,10.96300597464035
95,8 mar 2024,35,13,17,1.4705882352941178,25,30,5,15,19,1,11.666666666666664,7.717224601860151,12,19,0,4,0,0,5.0,7.030545599636732,25,10,0,0,8.75,10.231690964840562
96,9 mar 2024,65,8,15,1.5833333333333333,19,65,0,59,6,0,21.66666666666667,26.51205176686423,59,6,0,0,0,0,9.285714285714286,20.401080403563267,58,4,1,2,16.25,24.12856191321812
97,10 mar 2024,13,6,11,1.1,11,12,1,9,4,0,4.333333333333333,3.6817870057290873,9,3,1,0,0,0,1.8571428571428568,3.0904725218262765,9,4,0,0,3.25,3.6996621467371855
98,11 mar 2024,53,24,34,1.5172413793103448,44,44,9,30,23,0,17.666666666666668,12.814921857827391,26,19,3,4,1,0,7.571428571428571,9.722685444099175,36,14,0,3,13.25,14.13108276106258
99,12 mar 2024,41,7,19,2.066666666666667,31,33,8,22,19,0,13.666666666666664,9.741092797468305,15,19,0,7,0,0,5.857142857142858,7.510536816054237,33,4,0,4,10.25,13.235841491949047
100,13 mar 2024,43,15,22,1.9444444444444444,35,27,16,11,32,0,14.333333333333336,13.27487183449325,4,25,7,7,0,0,6.142857142857142,8.236305888799757,26,16,0,1,10.75,10.84838697687357
101,14 mar 2024,26,8,16,1.9090909090909087,21,19,7,6,20,0,8.666666666666666,8.379870059984357,4,17,3,2,0,0,3.7142857142857135,5.624291338579866,13,13,0,0,6.5,6.5
102,15 mar 2024,42,10,23,1.75,35,38,4,19,23,0,14.0,10.03327796219494,15,23,0,4,0,0,6.0,8.602325267042627,28,13,0,1,10.5,11.324751652906125
103,16 mar 2024,48,8,19,2.0,30,44,4,31,17,0,16.0,12.675435561221027,31,15,2,0,0,0,6.857142857142858,11.089616397185914,43,1,2,2,12.0,17.902513789968157
104,17 mar 2024,13,6,12,1.0833333333333333,13,11,2,7,6,0,4.333333333333333,3.0912061651652345,7,6,0,0,0,0,1.8571428571428568,2.9485382057928984,10,0,3,0,3.25,4.085033659592049
105,18 mar 2024,52,18,28,1.48,37,48,4,23,29,0,17.333333333333332,12.498888839501786,15,28,1,8,0,0,7.428571428571429,9.911856433543802,32,15,2,3,13.0,12.103718436910205
106,19 mar 2024,49,12,18,1.2857142857142858,18,42,7,33,16,0,16.333333333333332,13.474255287605155,28,13,3,5,0,0,7.0,9.591663046625438,33,3,3,10,12.25,12.316147936753602
107,20 mar 2024,54,16,25,1.5217391304347827,35,49,5,26,28,0,18.0,12.754084313139328,19,26,1,7,1,0,7.7142857142857135,9.793792286287204,30,8,2,14,13.5,10.428326807307103
108,21 mar 2024,14,5,12,1.0909090909090908,12,12,2,7,7,0,4.666666666666667,3.2998316455372216,6,7,0,1,0,0,2.0,2.8784916685156983,12,1,1,0,3.5,4.924428900898052
109,22 mar 2024,73,26,40,1.3783783783783785,51,67,6,30,43,0,24.33333333333333,18.006171781426012,25,43,0,5,0,0,10.428571428571429,15.755789347385411,47,18,0,8,18.25,17.78166190208328
110,23 mar 2024,32,10,20,1.6666666666666667,25,29,3,23,9,0,10.666666666666666,9.463379711052259,22,9,0,1,0,0,4.571428571428571,7.7433315616386595,23,8,1,0,8.0,9.192388155425117
111,24 mar 2024,18,6,10,1.25,10,9,9,7,11,0,6.0,4.546060565661952,6,7,4,1,0,0,2.571428571428572,2.821202522590214,9,4,0,5,4.5,3.2015621187164243
112,25 mar 2024,26,10,17,1.6428571428571428,23,23,3,12,14,0,8.666666666666666,6.182412330330468,9,14,0,3,0,0,3.7142857142857135,5.202040416009464,17,7,0,2,6.5,6.576473218982952
113,26 mar 2024,26,3,15,2.4,24,15,11,15,11,0,8.666666666666666,6.342099196813482,4,11,0,11,0,0,3.7142857142857135,4.80221037542046,24,1,0,1,6.5,10.111874208078342
114,27 mar 2024,37,8,17,1.933333333333333,29,28,9,23,14,0,12.333333333333336,9.463379711052259,18,14,0,5,0,0,5.285714285714286,7.065293153644707,32,5,0,0,9.25,13.292385038058445
115,28 mar 2024,12,5,10,1.375,11,8,4,6,6,0,4.0,2.8284271247461903,4,4,1,2,1,0,1.7142857142857142,1.5779087167410368,7,5,0,0,3.0,3.0822070014844885
116,29 mar 2024,11,4,11,1.375,11,9,2,4,7,0,3.6666666666666665,2.867441755680876,4,7,0,0,0,0,1.5714285714285714,2.610809554642438,3,7,0,1,2.75,2.680951323690902
117,30 mar 2024,38,10,17,1.8,27,36,2,33,5,0,12.666666666666664,14.522013940527975,33,5,0,0,0,0,5.428571428571429,11.38742593335979,25,10,0,3,9.5,9.656603957913983
118,31 mar 2024,9,3,7,1.5,9,7,2,7,2,0,3.0,2.943920288775949,7,1,0,0,1,0,1.2857142857142858,2.3733211036908792,8,1,0,0,2.25,3.344772040064913
119,1 abr 2024,32,11,18,1.7692307692307692,23,28,4,21,11,0,10.666666666666666,8.576453553512405,18,7,4,3,0,0,4.571428571428571,5.996597674804388,18,13,0,1,8.0,7.713624310270755
120,2 abr 2024,27,4,16,2.333333333333333,21,25,2,17,10,0,9.0,6.97614984548545,16,8,2,1,0,0,3.8571428571428568,5.617029500382142,9,18,0,0,6.75,7.46240577829965
