Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
14 jun 2022,38,23,23,1.173913043478261,27
15 jun 2022,35,22,23,1.0434782608695652,24
16 jun 2022,46,16,21,1.1428571428571428,24
17 jun 2022,32,10,13,1.0769230769230769,14
18 jun 2022,15,9,10,1,10
19 jun 2022,12,6,7,1,7
20 jun 2022,9,5,6,1,6
21 jun 2022,68,36,40,1.125,45
22 jun 2022,26,9,13,1.1538461538461537,15
23 jun 2022,53,21,23,1.3478260869565217,31
24 jun 2022,21,10,13,1.0769230769230769,14
25 jun 2022,34,14,17,1.1764705882352942,20
26 jun 2022,9,6,6,1,6
27 jun 2022,10,5,7,1.4285714285714286,10
28 jun 2022,60,30,39,1.1025641025641026,43
29 jun 2022,25,13,18,1.1111111111111112,20
30 jun 2022,91,41,50,1.2040816326530612,59
1 jul 2022,25,14,19,1.1578947368421053,22
2 jul 2022,26,16,16,1,16
3 jul 2022,18,9,9,1.1111111111111112,10
4 jul 2022,147,10,14,1.5,21
5 jul 2022,23,8,11,1.2727272727272727,14
6 jul 2022,12,9,11,1.0909090909090908,12
7 jul 2022,107,65,70,1.2285714285714286,86
8 jul 2022,26,12,16,1.4375,23
9 jul 2022,5,4,5,1,5
10 jul 2022,6,2,2,1,2
11 jul 2022,1,0,1,1,1
12 jul 2022,17,9,9,1,9
13 jul 2022,15,8,9,1.1111111111111112,10
14 jul 2022,4,2,4,1,4
15 jul 2022,1,1,1,1,1
16 jul 2022,3,2,3,1,3
17 jul 2022,9,6,6,1.1666666666666667,7
18 jul 2022,14,4,4,1,4
19 jul 2022,6,2,4,1,4
20 jul 2022,14,8,8,1.25,10
21 jul 2022,5,5,5,1,5
22 jul 2022,10,8,9,1.1111111111111112,10
23 jul 2022,16,8,8,1,8
24 jul 2022,1,1,1,1,1
25 jul 2022,12,6,6,1.1666666666666667,7
26 jul 2022,2,2,3,1,3
27 jul 2022,14,8,9,1,9
28 jul 2022,50,15,17,1.1176470588235294,19
29 jul 2022,10,9,9,1,9
30 jul 2022,5,4,4,1,4
31 jul 2022,2,2,3,1,3
1 ago 2022,36,14,17,1.1176470588235294,19
2 ago 2022,37,15,24,1.380952380952381,29
3 ago 2022,61,21,33,1.3571428571428572,38
4 ago 2022,33,15,20,1.1578947368421053,22
5 ago 2022,18,14,14,1,14
6 ago 2022,8,6,6,1,6
7 ago 2022,7,4,5,1.25,5
8 ago 2022,76,12,21,1.3,26
9 ago 2022,57,17,22,1.1428571428571428,24
10 ago 2022,94,37,42,1.146341463414634,47
11 ago 2022,48,18,27,1.2608695652173914,29
12 ago 2022,32,13,18,1.3333333333333333,20
13 ago 2022,6,6,6,1,6
14 ago 2022,4,3,4,1.25,5
15 ago 2022,13,5,5,1,5
16 ago 2022,94,19,25,1.3043478260869565,30
17 ago 2022,34,10,18,1.375,22
18 ago 2022,39,16,22,1.15,23
19 ago 2022,23,11,15,1.0714285714285714,15
20 ago 2022,13,4,7,1.3333333333333333,8
21 ago 2022,5,5,5,1.2,6
22 ago 2022,20,11,15,1.2666666666666666,19
23 ago 2022,15,4,8,1.5,9
24 ago 2022,102,32,34,1.3636363636363635,45
25 ago 2022,45,15,22,1.4444444444444444,26
26 ago 2022,28,10,15,1.3333333333333333,16
27 ago 2022,28,8,11,1.2,12
28 ago 2022,26,14,16,1.2,18
29 ago 2022,49,10,12,1.1818181818181819,13
30 ago 2022,89,8,12,1.3333333333333333,16
31 ago 2022,22,4,7,1.3333333333333333,8
1 sept 2022,17,8,11,1.0909090909090908,12
2 sept 2022,31,5,6,2,12
3 sept 2022,22,8,9,1.375,11
4 sept 2022,4,1,3,2,4
5 sept 2022,26,9,12,1.0833333333333333,13
6 sept 2022,45,16,18,1.3333333333333333,24
7 sept 2022,45,18,24,1.391304347826087,32
8 sept 2022,72,21,30,1.4230769230769231,37
9 sept 2022,26,11,16,1.2857142857142858,18
10 sept 2022,34,11,18,1.2666666666666666,19
11 sept 2022,7,5,5,1,5
12 sept 2022,13,8,12,1.2,12
13 sept 2022,39,13,16,1.3571428571428572,19
14 sept 2022,19,12,15,1.1333333333333333,17
15 sept 2022,72,31,36,1.1142857142857143,39
16 sept 2022,22,10,16,1.3076923076923077,17
17 sept 2022,17,9,9,1,9
18 sept 2022,4,2,3,2.5,5
19 sept 2022,33,13,18,1.2352941176470589,21
20 sept 2022,36,14,16,1.2,18
21 sept 2022,50,15,21,1.2105263157894737,23
22 sept 2022,7,6,7,1.3333333333333333,8
23 sept 2022,6,3,5,1.6666666666666667,5
24 sept 2022,4,2,3,2,4
25 sept 2022,15,4,6,1.75,7
26 sept 2022,45,18,20,1.105263157894737,21
27 sept 2022,15,13,15,1.1428571428571428,16
28 sept 2022,61,19,28,1.1481481481481481,31
29 sept 2022,54,20,26,1.2,30
30 sept 2022,40,8,17,1.5384615384615385,20
1 oct 2022,5,3,7,1.75,7
2 oct 2022,8,5,6,1,6
3 oct 2022,29,9,11,1.5,15
4 oct 2022,30,12,17,1.5714285714285714,22
5 oct 2022,59,20,27,1.7272727272727273,38
6 oct 2022,14,6,6,1,6
7 oct 2022,9,5,8,2.2,11
12 oct 2022,54,17,24,1.3181818181818181,29
13 oct 2022,34,13,20,1.2777777777777777,23
14 oct 2022,14,7,10,1.2222222222222223,11
15 oct 2022,17,10,12,1.3,13
16 oct 2022,8,5,6,1.2,6
17 oct 2022,9,8,9,1.1111111111111112,10
18 oct 2022,22,8,10,1,10
19 oct 2022,52,22,28,1.32,33
20 oct 2022,27,9,14,1.25,15
21 oct 2022,47,24,29,1.3076923076923077,34
22 oct 2022,23,14,15,1.0666666666666667,16
23 oct 2022,8,5,5,1.2,6
24 oct 2022,22,9,13,1.1538461538461537,15
25 oct 2022,29,16,18,1.1666666666666667,21
26 oct 2022,39,15,23,1.2380952380952381,26
27 oct 2022,24,11,14,1.0769230769230769,14
28 oct 2022,19,9,10,1.2,12
29 oct 2022,9,7,8,1.2857142857142858,9
30 oct 2022,22,7,7,1,7
31 oct 2022,20,9,13,1.1666666666666667,14
1 nov 2022,27,11,15,1.5,18
2 nov 2022,44,15,22,1.3157894736842106,25
3 nov 2022,14,4,9,1.2857142857142858,9
4 nov 2022,6,5,6,1.2,6
5 nov 2022,4,3,4,1.3333333333333333,4
6 nov 2022,5,3,3,1,3
7 nov 2022,29,12,14,1.1538461538461537,15
8 nov 2022,10,5,8,1.5,9
9 nov 2022,44,24,28,1.2692307692307692,33
10 nov 2022,17,6,11,1.6666666666666667,15
11 nov 2022,17,6,9,1.375,11
12 nov 2022,11,8,9,1.1111111111111112,10
13 nov 2022,6,2,5,2,6
14 nov 2022,17,12,13,1.1666666666666667,14
15 nov 2022,18,10,12,1.0909090909090908,12
16 nov 2022,25,12,14,1.4166666666666667,17
17 nov 2022,20,9,12,1.3636363636363635,15
18 nov 2022,26,13,17,1.125,18
19 nov 2022,25,13,14,1.0714285714285714,15
20 nov 2022,12,8,8,1,8
21 nov 2022,11,7,10,1.5714285714285714,11
22 nov 2022,13,9,12,1.3333333333333333,12
23 nov 2022,64,24,26,1.2307692307692308,32
24 nov 2022,10,6,9,1.4285714285714286,10
25 nov 2022,9,1,4,1.6666666666666667,5
26 nov 2022,25,17,18,1.1176470588235294,19
27 nov 2022,2,0,2,null,2
28 nov 2022,22,7,10,1.5714285714285714,11
29 nov 2022,9,5,8,1.3333333333333333,8
30 nov 2022,18,6,10,1.25,10
1 dic 2022,22,14,17,1.125,18
2 dic 2022,3,2,3,1,3
3 dic 2022,9,5,5,1,5
4 dic 2022,20,4,5,1.25,5
5 dic 2022,11,7,8,1,8
6 dic 2022,27,4,5,1.2,6
7 dic 2022,23,12,15,1.2142857142857142,17
8 dic 2022,10,7,9,1.125,9
9 dic 2022,3,2,2,1,2
10 dic 2022,7,7,7,1,7
11 dic 2022,3,2,2,1,2
12 dic 2022,16,11,12,1,12
13 dic 2022,6,4,6,1,6
14 dic 2022,6,5,5,1,5
15 dic 2022,12,5,7,1.1428571428571428,8
16 dic 2022,9,5,6,1.1666666666666667,7
17 dic 2022,5,4,4,1,4
18 dic 2022,1,0,1,1,1
19 dic 2022,20,11,12,1.0833333333333333,13
20 dic 2022,5,3,3,1,3
21 dic 2022,4,2,2,1,2
22 dic 2022,3,1,3,2,4
23 dic 2022,3,2,3,1.5,3
24 dic 2022,2,2,2,1,2
25 dic 2022,4,3,4,1.3333333333333333,4
26 dic 2022,3,3,4,1.3333333333333333,4
27 dic 2022,3,2,3,1.5,3
28 dic 2022,1,1,1,1,1
29 dic 2022,2,2,2,1,2
30 dic 2022,4,4,5,1.25,5
31 dic 2022,2,2,2,1,2
1 ene 2023,2,1,1,1,1
2 ene 2023,4,2,2,1,2
3 ene 2023,3,1,2,2,2
4 ene 2023,8,4,6,1.2,6
5 ene 2023,2,2,2,1,2
6 ene 2023,3,3,3,1,3
7 ene 2023,2,2,2,1,2
8 ene 2023,6,3,3,1,3
9 ene 2023,5,4,4,1,4
10 ene 2023,1,1,1,1,1
11 ene 2023,1,1,1,1,1
13 ene 2023,6,3,3,1.6666666666666667,5
14 ene 2023,3,3,3,1,3
15 ene 2023,2,1,1,2,2
16 ene 2023,4,3,3,1,3
17 ene 2023,2,1,1,1,1
18 ene 2023,3,1,2,1,2
19 ene 2023,1,1,1,1,1
20 ene 2023,3,3,3,1,3
21 ene 2023,6,5,6,1,6
22 ene 2023,3,2,2,1,2
23 ene 2023,1,1,1,1,1
24 ene 2023,5,5,5,1,5
25 ene 2023,4,2,3,1.5,3
26 ene 2023,5,3,4,1,4
27 ene 2023,8,6,7,1.1428571428571428,8
28 ene 2023,2,1,1,1,1
29 ene 2023,2,1,2,1,2
30 ene 2023,9,5,5,1,5
31 ene 2023,11,7,7,1,7
1 feb 2023,1,1,1,1,1
2 feb 2023,8,4,7,1.4,7
3 feb 2023,8,5,8,1.3333333333333333,8
4 feb 2023,5,3,5,1.25,5
5 feb 2023,2,2,2,1,2
6 feb 2023,10,5,8,1.125,9
7 feb 2023,17,5,5,1.2,6
8 feb 2023,9,4,6,1.1666666666666667,7
9 feb 2023,8,4,6,1.2,6
10 feb 2023,8,2,3,2,4
11 feb 2023,4,3,3,1,3
12 feb 2023,8,4,5,1.2,6
13 feb 2023,10,4,6,1.6,8
14 feb 2023,21,5,7,1,7
15 feb 2023,13,4,6,1.1666666666666667,7
16 feb 2023,16,5,7,1.1428571428571428,8
17 feb 2023,29,17,22,1.2857142857142858,27
18 feb 2023,1,1,1,1,1
19 feb 2023,1,1,1,1,1
20 feb 2023,3,3,3,1,3
21 feb 2023,4,4,4,1,4
22 feb 2023,11,9,10,1,10
23 feb 2023,12,10,10,1.2,12
24 feb 2023,7,6,6,1,6
25 feb 2023,13,10,11,1.1,11
26 feb 2023,15,8,10,1.625,13
27 feb 2023,30,19,25,1.173913043478261,27
28 feb 2023,41,17,22,1.1904761904761905,25
1 mar 2023,43,19,24,1.1904761904761905,25
2 mar 2023,39,22,27,1.24,31
3 mar 2023,39,11,15,1.1428571428571428,16
4 mar 2023,11,6,6,1,6
5 mar 2023,16,7,11,1.7142857142857142,12
6 mar 2023,31,18,20,1.2777777777777777,23
7 mar 2023,19,10,15,1.0666666666666667,16
8 mar 2023,29,13,16,1.2,18
9 mar 2023,12,6,12,1.5,12
10 mar 2023,25,14,18,1.1176470588235294,19
11 mar 2023,11,5,5,1.2,6
12 mar 2023,8,6,6,1.1666666666666667,7
13 mar 2023,20,9,12,1.1666666666666667,14
14 mar 2023,17,7,10,1.4444444444444444,13
15 mar 2023,49,23,27,1.1538461538461537,30
16 mar 2023,36,14,23,1.0909090909090908,24
17 mar 2023,24,7,14,1.25,15
18 mar 2023,29,14,17,1.125,18
19 mar 2023,13,9,10,1,10
20 mar 2023,30,16,22,1.25,25
21 mar 2023,27,15,18,1.0555555555555556,19
22 mar 2023,24,12,16,1.4285714285714286,20
23 mar 2023,20,13,15,1.1428571428571428,16
24 mar 2023,5,5,5,1,5
25 mar 2023,10,9,10,1,10
26 mar 2023,14,12,14,1.0769230769230769,14
27 mar 2023,9,8,9,1.125,9
28 mar 2023,18,10,14,1.0769230769230769,14
29 mar 2023,27,13,17,1.1333333333333333,17
30 mar 2023,19,13,19,1.1176470588235294,19
31 mar 2023,99,8,15,1.2857142857142858,18
1 abr 2023,22,8,9,1,9
2 abr 2023,15,11,13,1.1818181818181819,13
3 abr 2023,24,11,13,1.2727272727272727,14
4 abr 2023,30,15,17,1,17
5 abr 2023,13,11,13,1,13
6 abr 2023,10,6,6,1,6
7 abr 2023,9,6,6,1,6
8 abr 2023,13,10,12,1.1818181818181819,13
9 abr 2023,19,2,3,1,3
10 abr 2023,5,4,4,1,4
11 abr 2023,6,5,8,1.3333333333333333,8
12 abr 2023,58,28,35,1.2647058823529411,43
13 abr 2023,30,13,17,1.125,18
14 abr 2023,18,9,16,1.2,18
15 abr 2023,10,4,6,1,6
16 abr 2023,17,12,14,1,14
17 abr 2023,22,14,16,1.2142857142857142,17
18 abr 2023,23,11,12,1,12
19 abr 2023,22,14,15,1.0714285714285714,15
20 abr 2023,41,9,14,1.3076923076923077,17
21 abr 2023,27,6,8,1.4285714285714286,10
22 abr 2023,40,10,11,1.1818181818181819,13
23 abr 2023,52,14,18,1.2777777777777777,23
24 abr 2023,27,12,18,1.4,21
25 abr 2023,11,8,9,1.375,11
26 abr 2023,41,11,16,1.2857142857142858,18
27 abr 2023,89,27,32,1.2258064516129032,38
28 abr 2023,27,9,14,1.5,18
29 abr 2023,42,17,22,1.5,30
30 abr 2023,31,6,12,2,16
1 may 2023,14,3,6,1.4,7
2 may 2023,64,23,29,1.4615384615384615,38
3 may 2023,108,32,47,1.5476190476190477,65
4 may 2023,87,24,41,1.75,56
5 may 2023,43,8,23,1.8125,29
6 may 2023,94,32,39,1.1666666666666667,42
7 may 2023,37,13,21,2,28
8 may 2023,67,25,34,1.6428571428571428,46
9 may 2023,54,28,41,1.793103448275862,52
10 may 2023,76,29,41,1.3783783783783783,51
11 may 2023,85,29,44,1.5135135135135136,56
12 may 2023,56,15,30,1.9130434782608696,44
13 may 2023,100,37,49,1.5714285714285714,66
14 may 2023,38,14,26,1.6,32
15 may 2023,36,12,26,2,34
16 may 2023,105,40,50,1.4545454545454546,64
17 may 2023,72,31,43,1.4,49
18 may 2023,108,34,47,1.575,63
19 may 2023,70,16,28,1.6363636363636365,36
20 may 2023,109,48,59,1.3888888888888888,75
21 may 2023,39,12,21,1.7857142857142858,25
22 may 2023,65,18,35,1.4615384615384615,38
23 may 2023,78,27,36,1.3548387096774193,42
24 may 2023,62,22,31,1.5769230769230769,41
25 may 2023,40,10,15,1.3333333333333333,16
26 may 2023,9,3,6,3,9
29 may 2023,50,18,27,1.5,33
30 may 2023,62,25,38,1.9655172413793103,57
31 may 2023,37,10,16,1.4615384615384615,19
1 jun 2023,78,30,41,1.3055555555555556,47
2 jun 2023,56,18,31,1.3793103448275863,40
3 jun 2023,113,28,38,1.588235294117647,54
4 jun 2023,57,13,28,1.6666666666666667,35
5 jun 2023,50,11,29,2.0526315789473686,39
6 jun 2023,64,22,31,1.4285714285714286,40
7 jun 2023,47,13,26,1.9444444444444444,35
8 jun 2023,75,23,43,1.4848484848484849,49
9 jun 2023,32,9,18,2.076923076923077,27
10 jun 2023,58,15,25,1.7142857142857142,36
11 jun 2023,35,10,17,1.7272727272727273,19
12 jun 2023,44,12,21,2.066666666666667,31
13 jun 2023,57,20,30,1.5555555555555556,42
14 jun 2023,82,22,37,1.7857142857142858,50
15 jun 2023,74,20,37,1.6551724137931034,48
16 jun 2023,13,2,4,1.6666666666666667,5
21 jun 2023,57,14,24,1.6842105263157894,32
22 jun 2023,21,4,14,2.111111111111111,19
23 jun 2023,124,59,68,1.2575757575757576,83
24 jun 2023,48,12,27,1.8095238095238095,38
25 jun 2023,24,7,16,1.3846153846153846,18
26 jun 2023,32,9,22,1.9375,31
27 jun 2023,57,19,35,1.6785714285714286,47
28 jun 2023,37,15,23,1.875,30
29 jun 2023,52,10,22,1.8333333333333333,33
30 jun 2023,60,15,28,1.9444444444444444,35
1 jul 2023,38,9,19,1.8461538461538463,24
2 jul 2023,18,4,12,1.75,14
3 jul 2023,157,11,27,2,34
4 jul 2023,110,11,27,1.608695652173913,37
5 jul 2023,53,7,21,1.7647058823529411,30
6 jul 2023,53,9,22,1.8666666666666667,28
7 jul 2023,32,12,22,1.3333333333333333,24
8 jul 2023,44,9,25,2,36
9 jul 2023,21,5,8,1.5,9
10 jul 2023,18,9,15,1.7,17
11 jul 2023,38,5,17,2.2222222222222223,20
12 jul 2023,15,4,9,1.8571428571428572,13
13 jul 2023,31,10,15,1.5,18
14 jul 2023,17,7,12,1.625,13
15 jul 2023,43,13,23,1.3888888888888888,25
16 jul 2023,57,7,15,1.2307692307692308,16
17 jul 2023,22,5,12,1.5555555555555556,14
18 jul 2023,35,11,19,1.4705882352941178,25
19 jul 2023,9,4,10,2,12
20 jul 2023,13,4,8,2.2,11
21 jul 2023,5,1,5,1.5,6
22 jul 2023,26,7,11,2,18
23 jul 2023,23,6,13,1.5454545454545454,17
24 jul 2023,74,9,25,1.736842105263158,33
25 jul 2023,61,12,25,1.6363636363636365,36
26 jul 2023,55,13,24,1.5789473684210527,30
27 jul 2023,63,8,22,2.0588235294117645,35
28 jul 2023,33,8,20,1.75,28
29 jul 2023,66,19,35,1.8,45
30 jul 2023,38,8,13,2,20
31 jul 2023,70,17,32,1.4615384615384615,38
1 ago 2023,215,57,73,1.3428571428571427,94
2 ago 2023,118,24,45,1.9090909090909092,63
3 ago 2023,43,13,29,1.7142857142857142,36
4 ago 2023,31,9,18,1.7333333333333334,26
5 ago 2023,40,5,16,1.5714285714285714,22
6 ago 2023,16,6,14,2,18
7 ago 2023,73,10,29,1.565217391304348,36
8 ago 2023,42,9,23,2.2857142857142856,32
9 ago 2023,102,17,36,1.962962962962963,53
10 ago 2023,86,21,39,1.7142857142857142,60
11 ago 2023,40,10,21,2.2857142857142856,32
12 ago 2023,48,17,28,2.05,41
13 ago 2023,25,8,16,2.111111111111111,19
14 ago 2023,61,9,23,2.0588235294117645,35
15 ago 2023,71,17,31,1.5769230769230769,41
16 ago 2023,74,13,27,2.3,46
17 ago 2023,82,24,41,1.4285714285714286,50
18 ago 2023,64,12,27,1.6521739130434783,38
19 ago 2023,65,21,35,1.7307692307692308,45
20 ago 2023,22,5,15,1.6363636363636365,18
21 ago 2023,21,7,15,1.5,18
22 ago 2023,46,13,27,1.8181818181818181,40
23 ago 2023,82,23,39,1.6774193548387097,52
24 ago 2023,180,64,72,1.2753623188405796,88
25 ago 2023,39,11,24,1.45,29
26 ago 2023,47,13,25,1.65,33
27 ago 2023,31,11,18,1.6,24
28 ago 2023,47,11,22,1.9411764705882353,33
29 ago 2023,70,21,35,1.5333333333333334,46
30 ago 2023,25,9,17,2,22
31 ago 2023,76,19,35,1.5,45
1 sept 2023,61,16,30,1.72,43
2 sept 2023,51,12,23,1.6666666666666667,30
3 sept 2023,20,4,13,1.4545454545454546,16
4 sept 2023,36,3,16,2,20
5 sept 2023,49,13,24,1.7222222222222223,31
6 sept 2023,58,25,36,1.4545454545454546,48
7 sept 2023,97,25,43,2.1818181818181817,72
8 sept 2023,37,7,21,2,26
9 sept 2023,84,30,43,1.6285714285714286,57
10 sept 2023,33,7,15,2.272727272727273,25
11 sept 2023,39,11,24,1.8235294117647058,31
12 sept 2023,31,9,18,1.9375,31
13 sept 2023,115,28,44,1.4,56
14 sept 2023,106,32,51,1.5,63
15 sept 2023,52,13,30,1.9,38
16 sept 2023,50,14,25,1.75,35
17 sept 2023,35,8,13,1.3333333333333333,16
18 sept 2023,59,20,35,1.6666666666666667,45
19 sept 2023,68,21,32,1.5185185185185186,41
20 sept 2023,123,36,54,1.5869565217391304,73
21 sept 2023,73,11,33,1.75,42
22 sept 2023,21,7,17,1.6666666666666667,20
23 sept 2023,30,8,17,1.9230769230769231,25
24 sept 2023,22,7,13,2.125,17
25 sept 2023,73,17,32,1.8181818181818181,40
26 sept 2023,127,21,36,1.7419354838709677,54
27 sept 2023,55,17,33,1.6923076923076923,44
28 sept 2023,92,31,49,1.4634146341463414,60
29 sept 2023,59,8,24,2.357142857142857,33
30 sept 2023,102,34,47,1.5128205128205128,59
1 oct 2023,40,18,28,1.736842105263158,33
2 oct 2023,49,16,33,2.1052631578947367,40
3 oct 2023,56,13,28,2.1578947368421053,41
4 oct 2023,77,17,35,2,52
5 oct 2023,60,22,32,1.44,36
6 oct 2023,49,10,28,1.736842105263158,33
7 oct 2023,64,18,31,1.9523809523809523,41
8 oct 2023,27,4,14,1.8181818181818181,20
9 oct 2023,59,17,37,1.962962962962963,53
10 oct 2023,182,43,65,1.5263157894736843,87
11 oct 2023,79,26,44,1.8181818181818181,60
12 oct 2023,87,24,40,1.5294117647058822,52
13 oct 2023,21,7,14,1.7,17
14 oct 2023,62,16,31,1.7916666666666667,43
15 oct 2023,28,8,15,1.75,21
16 oct 2023,20,4,12,2,14
17 oct 2023,42,11,26,1.619047619047619,34
18 oct 2023,62,18,33,1.7307692307692308,45
19 oct 2023,79,15,37,1.6129032258064515,50
20 oct 2023,34,14,22,1.5238095238095237,32
21 oct 2023,79,24,41,1.588235294117647,54
22 oct 2023,34,9,21,1.6875,27
23 oct 2023,54,12,31,2.0952380952380953,44
24 oct 2023,58,15,34,1.8,45
25 oct 2023,90,21,37,1.896551724137931,55
26 oct 2023,84,17,38,2.0357142857142856,57
27 oct 2023,30,6,20,2.142857142857143,30
28 oct 2023,80,17,35,1.8928571428571428,53
29 oct 2023,32,13,21,1.5555555555555556,28
30 oct 2023,58,12,29,1.7391304347826086,40
31 oct 2023,57,12,26,1.5833333333333333,38
1 nov 2023,94,36,52,1.391304347826087,64
2 nov 2023,58,22,34,1.6206896551724137,47
3 nov 2023,38,5,19,2.3846153846153846,31
4 nov 2023,41,12,24,2,36
5 nov 2023,29,7,17,2.090909090909091,23
6 nov 2023,38,8,22,1.8235294117647058,31
7 nov 2023,22,4,16,2.4444444444444446,22
8 nov 2023,119,21,36,1.96875,63
9 nov 2023,23,10,22,1.8461538461538463,24
10 nov 2023,106,19,29,1.5185185185185186,41
11 nov 2023,64,15,30,1.8695652173913044,43
12 nov 2023,37,6,19,1.7142857142857142,24
13 nov 2023,49,14,24,1.55,31
14 nov 2023,57,13,21,1.9473684210526316,37
15 nov 2023,42,7,19,1.8,27
16 nov 2023,50,19,29,1.68,42
17 nov 2023,49,20,29,1.56,39
18 nov 2023,73,8,27,1.7272727272727273,38
19 nov 2023,15,7,11,1.3333333333333333,12
20 nov 2023,19,8,13,1.5454545454545454,17
21 nov 2023,59,34,42,1.25,50
22 nov 2023,44,10,25,1.9444444444444444,35
23 nov 2023,48,25,34,1.4333333333333333,43
24 nov 2023,38,9,19,1.588235294117647,27
25 nov 2023,44,15,26,1.4545454545454546,32
26 nov 2023,24,7,15,1.7272727272727273,19
27 nov 2023,34,8,18,1.5384615384615385,20
28 nov 2023,37,13,24,1.4736842105263157,28
29 nov 2023,62,17,31,2.0434782608695654,47
30 nov 2023,29,7,11,1.4545454545454546,16
1 dic 2023,34,8,18,2.076923076923077,27
2 dic 2023,100,19,36,1.5172413793103448,44
3 dic 2023,15,2,9,2.3333333333333335,14
4 dic 2023,37,7,19,2.066666666666667,31
5 dic 2023,29,10,19,1.4375,23
6 dic 2023,12,2,10,2,12
7 dic 2023,24,7,12,1.3333333333333333,16
8 dic 2023,15,8,12,2,18
9 dic 2023,50,11,26,1.8571428571428572,39
10 dic 2023,11,5,9,1.5714285714285714,11
11 dic 2023,16,9,16,1.5,18
12 dic 2023,17,5,10,1.75,14
13 dic 2023,27,8,14,1.8,18
14 dic 2023,16,5,12,1.7777777777777777,16
15 dic 2023,28,3,14,1.7272727272727273,19
16 dic 2023,42,16,23,1.4761904761904763,31
17 dic 2023,19,3,6,2,10
18 dic 2023,34,8,14,1.5833333333333333,19
19 dic 2023,12,2,6,1.3333333333333333,8
20 dic 2023,25,3,13,1.9,19
21 dic 2023,12,2,4,2.3333333333333335,7
22 dic 2023,24,7,14,1.7272727272727273,19
23 dic 2023,35,5,15,2.1818181818181817,24
24 dic 2023,15,1,8,2.2,11
25 dic 2023,14,2,8,1.8333333333333333,11
26 dic 2023,17,5,10,1.75,14
27 dic 2023,27,5,11,1.8888888888888888,17
28 dic 2023,19,6,14,1.2727272727272727,14
29 dic 2023,12,2,4,1.75,7
30 dic 2023,23,3,10,2.125,17
31 dic 2023,18,6,8,1.25,10
1 ene 2024,3,0,2,1,2